"document","doc_kind","doc_name","doc_inst","doc_num","doc_date","doc_act","dv_danni","dv_date"
"1921","Решение","Решение 887 на МС от 20.10.2016 г.","Министерски съвет","2016/887","20/10/2016","28/10/2016","2016/84","25/10/2016"
"1920","Решение","Решение 542 на Общински съвет Самоков от 16.09.2016 г.","Общински съвет Самоков","2016/542","16/09/2016","21/10/2016","2016/83","21/10/2016"
"1919","Заповед","Заповед РД-02-14-704 на МРРБ от 13.09.2016 г.","Министерство на регионалното развитие и благоустройството","2016/РД-02-14-704","13/09/2016","27/09/2016","2016/75","27/09/2016"
"1918","Решение","Решение 215 от 26 юли 2016 г. на Общински съвет - Монтана","Общински съвет Монтана","2016/215","26/07/2016","16/08/2016","2016/64","16/08/2016"
"1916","Решение","Решение 184 на Общински съвет Костинброд от 27.05.2016 г.","Общински съвет Костинброд","2016/184","27/05/2016","01/08/2016","2016/59","29/07/2016"
"1907","Решение","Решение 58 на Общински съвет Габрово от 31.03.2016 г.","Общински съвет Габрово","2016/58","31/03/2016","26/04/2016","2016/32","22/04/2016"
"1905","Решение","Решение 993 на МС от 18.12.2015 г.","Министерски съвет","2015/993","18/12/2015","03/01/2016","2015/103","30/12/2015"
"1906","Служебен документ","Текуща демографска статистика за населението към 31.12.2015 г.","Национален статистически институт","2015/","31/12/2015","31/12/2015","",""
"1917","Протокол","Протокол 2 на Общински съвет Гърмен от 30.11.2015 г.","Общински съвет Гърмен","2015/2","30/11/2015","30/11/2015","",""
"1904","Решение","Решение 783 на МС от 12.10.2015 г.","Министерски съвет","2015/783","12/10/2015","06/11/2015","2015/86","06/11/2015"
"1903","Указ","Указ 203 на Президента на Републиката от 06.11.2015 г.","Президент на Републиката","2015/203","06/11/2015","06/11/2015","2015/86","06/11/2015"
"1902","Решение","Решение 755 на МС от 24.09.2015 г.","Министерски съвет","2015/755","24/09/2015","05/10/2015","2015/76","02/10/2015"
"1901","Постановление","Постановление 272 на МС от 08.10.2015 г.","Министерски съвет","2015/272","08/10/2015","01/10/2015","2015/79","13/10/2015"
"1900","Решение","Решение 658 на МС от 31.08.2015 г.","Министерски съвет","2015/658","31/08/2015","07/09/2015","2015/68","04/09/2015"
"1899","Решение","Решение 54-7 на Общински съвет Бургас от 21.07.2015 г.","Общински съвет Бургас","2015/54-7","21/07/2015","28/08/2015","2015/66","28/08/2015"
"1897","Решение","Решение 652 на Общински съвет Дулово от 28.07.2015 г.","Общински съвет Дулово","2015/652","28/07/2015","25/08/2015","2015/65","25/08/2015"
"1891","Решение","Решение 599 на МС от 06.08.2015 г.","Министерски съвет","2015/599","06/08/2015","17/08/2015","2015/62","14/08/2015"
